textbox19,textbox34,ID,textbox30,textbox10,Title,Location,Status,DateInitiated,Initiator,SAPNotificationNr
Unit: 05,[761],273766,1,HMDM - HMD MILLS,"F MILL L/OIL FILTERS A&B ARE OVERFLOWING ,VENTS PASSING - GC TO CHECK.",03-05NM60 - MILL 5F,Submitted,2015-11-27 18:39,ML Ramonedi,23415553
Unit: 05,[761],273870,1,HMDM - HMD MILLS,U5 CALL OUT S/BY GC CONST FOR F FEEDER GEARBOX DRIVE PULLEY SHEARING PINS BROKEN,03-05NM60D003 - MILL 5F FEEDER DRIVE,Submitted,2015-11-28 23:00,Ndivhuwo Mbedzi,23416274
Unit: 05,[761],273881,1,HMDM - HMD MILLS,U5 E MILL COMPENSATOR TORN AND GC CONST NOTIFIED ON SITE,03-05NM50G006 - LOESCHE MILL 5E,Submitted,2015-11-29 02:55,Ndivhuwo Mbedzi,23416329
Unit: 05,[761],274049,1,HMDM - HMD MILLS,CALL OUT: S/BY GC TO UNBLOCK MILL F REJECT LINE AND AND INNER DOORS FAILS TO CLOSE PROPERLY,03-05NM50 - MILL 5E,Submitted,2015-11-30 16:47,ML Ramonedi,23418030
Unit: 05,[761],274116,3,PERFTEST - PERFORMANCE AND TESTING,Unit 5 Mill A to F: PA and SA load lines to be checked,03-05NM - BOILER  MILLING & COMBUSTION SYSTEM,Signed Off,2015-12-01 12:14,Dawid Lombard,23418878
Unit: 05,[761],273185,1,EMF - EMD UNIT 4-6,MILL C TEMPERING AIR DAMPER FAILS TO DRIVE - EMD TO CHECK.,03-05NM30 - MILL 5C,Submitted,2015-11-21 16:38,ML Ramonedi,23407803
Unit: 05,[761],273240,2,CIB - C&I UNITS 4 - 6 SECT,U5 C MILL OUTLET TEMP SET POINT PORT FAULTY AND C & I TO CHECK,03-05NM30 - MILL 5C,Submitted,2015-11-22 07:58,Ndivhuwo Mbedzi,23408134
Unit: 05,[761],273880,2,HMDM - HMD MILLS,U5 F MILL REJECT LINE BROKEN,03-05NM60AA - MILL 5F REJECT SYSTEM,Submitted,2015-11-29 02:53,Ndivhuwo Mbedzi,23416343
Unit: 05,[761],273945,1,CIB - C&I UNITS 4 - 6 SECT,U5 S/BY C & I NOTIFIED TO HELP WITH E MILL START UP PROGRAM,03-05NM50 - MILL 5E,Submitted,2015-11-29 19:17,Ndivhuwo Mbedzi,23416875
Unit: 05,[761],273964,1,HMDM - HMD MILLS,U5 E MILL HYDRAULIC OIL TANK LEVEL LOW AND GC CONST NOTIFIED ON SITE,03-05NM50L113 - MILL 5E BALL LOADING HYDR OIL TANK LEVEL,Submitted,2015-11-30 01:42,Ndivhuwo Mbedzi,23417020
